model_name,vehicle_class,fleet_vehicle_days,booked_hours,booked_revenue_krw,stockout_days,booked_vehicle_days,utilization_rate,repair_cost_raw_krw,repair_cost_winsorized_krw,repair_cost_removed_as_excess_krw,repair_cost_outlier_cap_vehicle_level_krw,depreciation_cost_krw,depreciation_status,profit_proxy_before_depreciation_krw,profit_margin_proxy_before_depreciation
21년 올뉴아반떼CN7(휘),COMPACT,8820,27956.716666666667,36014470.0,0,1164.8631944444444,0.13207065696649029,425790.0,425790.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,35588680.0,0.9881772520878414
24년 쏘나타 디엣지 하이브리드(휘),MIDSIZE,2940,17049.45,35481705.0,6,710.3937500000001,0.24163052721088438,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,35481705.0,1.0
24년 더 뉴 카니발리무진 7인(경유),RV,2352,10062.45,34451005.0,2,419.26875,0.17826052295918368,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,34451005.0,1.0
22년 포르쉐 718박스터 컨버터블(휘),SUPERCAR,686,2165.1666666666665,35433936.0,128,90.21527777777777,0.13150915127955942,1716911.0,1716911.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,33717025.0,0.9515461392716857
24년 더 뉴 투싼 4륜(휘),SUV,2940,15279.916666666666,33395820.0,2,636.6631944444445,0.21655210695389268,1129150.0,908483.0000000005,220666.99999999953,908483.0000000005,,unavailable_purchase_sale_fields,32487337.0,0.9727965056704702
26년 더 K5 고급형 (휘),MIDSIZE,2730,17320.583333333332,30786145.0,0,721.6909722222222,0.26435566748066747,200000.0,200000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,30586145.0,0.9935035711681343
23년 머스탱컨버터블(휘),IMPORTED,2352,7745.633333333333,32057105.0,0,322.7347222222222,0.13721714380196523,2100000.0,1508483.0000000005,591516.9999999995,908483.0000000005,,unavailable_purchase_sale_fields,30548622.0,0.952943879367772
23년 4세대 카니발 리무진 7인승(경유),RV,2940,9184.333333333334,29728836.0,2,382.6805555555556,0.13016345427059714,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,29728836.0,1.0
26년 스포티지 4륜(휘),SUV,1813,12177.85,29420816.0,0,507.41041666666666,0.2798733682662254,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,29420816.0,1.0
22년 모닝(휘),URBAN,9494,27086.916666666668,29027133.0,0,1128.6215277777778,0.11887734651124687,342390.0,342390.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,28684743.0,0.9882044844042985
22년 K5(휘),MIDSIZE,5292,21167.283333333333,28537625.0,0,881.9701388888889,0.16666102397749222,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,28537625.0,1.0
23년 디올뉴 그랜저(휘),LUXURY,2940,11876.666666666666,29404315.0,1,494.8611111111111,0.16832010582010581,3082020.0,908483.0000000005,2173536.9999999995,908483.0000000005,,unavailable_purchase_sale_fields,28495832.0,0.9691037522894174
23년 투싼 하이브리드(휘),SUV,4116,14274.633333333333,27648853.0,0,594.7763888888888,0.14450349584278155,141916.0,141916.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,27506937.0,0.994867201181908
26년 아반떼(휘),COMPACT,2438,15222.133333333333,27363384.0,1,634.2555555555556,0.2601540424756176,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,27363384.0,1.0
23년 GV70(5인/휘),SUV,2940,9097.666666666666,27040210.0,0,379.0694444444444,0.12893518518518518,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,27040210.0,1.0
23년 4세대 카니발 9인승(휘),RV,4116,9570.5,26378055.0,0,398.7708333333333,0.09688309847748623,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,26378055.0,1.0
24년 BMW 미니 컨버터블(휘),IMPORTED,2352,8302.183333333332,26343800.0,7,345.9243055555555,0.14707666052532123,400000.0,400000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,25943800.0,0.9848161616775104
