dimension,segment,stage,stage_rank,segment_users,segment_reached,segment_rate,rest_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
campaign,120246521735130340,payment_attempted,9,35,0,0.0,0.04643285061313847,-0.04643285061313847,-1.3054660546720855,0.19173419866734046,False,0.3284335810505369,False,lower,funnel_stage_reach
campaign,120246521735130340,payment_completed,10,35,0,0.0,0.04382941585432599,-0.04382941585432599,-1.266613240052026,0.20529361591034012,False,0.34843411874690755,False,lower,funnel_stage_reach
campaign,120246525617030340,anonymous_visit,1,86,86,1.0,1.0,0.0,0.0,1.0,True,1.0,False,lower,funnel_stage_reach
campaign,120246525617030340,identified_visit,2,86,21,0.2441860465116279,0.28659403126480343,-0.04240798475317553,-0.8692467881487349,0.3847121609519072,True,0.5716606407719103,False,lower,funnel_stage_reach
campaign,120246525617030340,search_started,3,86,21,0.2441860465116279,0.2841810753197537,-0.03999502880812578,-0.8218702061404011,0.41115077138890455,True,0.6085031416555787,False,lower,funnel_stage_reach
campaign,120246525617030340,car_clicked,4,86,13,0.1511627906976744,0.22772086688773094,-0.07655807619005653,-1.6921578504652115,0.09061588066460814,True,0.17646250445213166,False,lower,funnel_stage_reach
campaign,120246525617030340,booking_started,5,86,1,0.011627906976744186,0.143356229275225,-0.13172832229848083,-3.4854198235924385,0.0004913654505634785,True,0.0015150434725707254,True,lower,funnel_stage_reach
campaign,120246525617030340,insurance_viewed,6,86,1,0.011627906976744186,0.143356229275225,-0.13172832229848083,-3.4854198235924385,0.0004913654505634785,True,0.0015150434725707254,True,lower,funnel_stage_reach
campaign,120246525617030340,insurance_selected,7,86,1,0.011627906976744186,0.143356229275225,-0.13172832229848083,-3.4854198235924385,0.0004913654505634785,True,0.0015150434725707254,True,lower,funnel_stage_reach
campaign,120246525617030340,checkout_started,8,86,1,0.011627906976744186,0.143356229275225,-0.13172832229848083,-3.4854198235924385,0.0004913654505634785,True,0.0015150434725707254,True,lower,funnel_stage_reach
campaign,120246525617030340,payment_attempted,9,86,0,0.0,0.04646790620558977,-0.04646790620558977,-2.0471264313057786,0.04064567241711322,True,0.08417312646212205,False,lower,funnel_stage_reach
campaign,120246525617030340,payment_completed,10,86,0,0.0,0.04386250592136428,-0.04386250592136428,-1.9862005853562064,0.04701105589717108,True,0.09580232271346352,False,lower,funnel_stage_reach
campaign,23205597293,anonymous_visit,1,1470,1470,1.0,1.0,0.0,0.0,1.0,True,1.0,False,lower,funnel_stage_reach
campaign,23205597293,identified_visit,2,1470,956,0.6503401360544218,0.2784578648289203,0.37188227122550144,31.189992771970275,1.4562815201173795e-213,True,1.6328004922528196e-212,True,higher,funnel_stage_reach
campaign,23205597293,search_started,3,1470,952,0.6476190476190476,0.27605489058154997,0.3715641570374977,31.24247104464868,2.8253147006321665e-214,True,3.2667701226059424e-213,True,higher,funnel_stage_reach
campaign,23205597293,car_clicked,4,1470,636,0.4326530612244898,0.22306855277475518,0.20958450844973464,18.95498214772141,4.016902239973021e-80,True,2.914223193705917e-79,True,higher,funnel_stage_reach
campaign,23205597293,booking_started,5,1470,201,0.13673469387755102,0.14333212428968686,-0.006597430412135841,-0.7142744151312636,0.4750575095676821,True,0.6658002975001605,False,lower,funnel_stage_reach
campaign,23205597293,insurance_viewed,6,1470,201,0.13673469387755102,0.14333212428968686,-0.006597430412135841,-0.7142744151312636,0.4750575095676821,True,0.6658002975001605,False,lower,funnel_stage_reach
campaign,23205597293,insurance_selected,7,1470,201,0.13673469387755102,0.14333212428968686,-0.006597430412135841,-0.7142744151312636,0.4750575095676821,True,0.6658002975001605,False,lower,funnel_stage_reach
campaign,23205597293,checkout_started,8,1470,201,0.13673469387755102,0.14333212428968686,-0.006597430412135841,-0.7142744151312636,0.4750575095676821,True,0.6658002975001605,False,lower,funnel_stage_reach
campaign,23205597293,payment_attempted,9,1470,73,0.04965986394557823,0.04633659775117882,0.0033232661943994116,0.5990609780646565,0.5491322221591901,True,0.7136050323793275,False,higher,funnel_stage_reach
campaign,23205597293,payment_completed,10,1470,59,0.04013605442176871,0.04388828436706565,-0.0037522299452969407,-0.6952379184722117,0.4869062128458452,True,0.6772755592216644,False,lower,funnel_stage_reach
campaign,23683448292,anonymous_visit,1,612,612,1.0,1.0,0.0,0.0,1.0,True,1.0,False,lower,funnel_stage_reach
