dimension,segment,insurance_metric,denominator,segment_n,segment_successes,segment_rate,rest_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
campaign,family-special-2026-05,reservation_insurance_row_reservation_users,reservation_users,1,1,1.0,0.988124741842214,0.011875258157786006,0.10962645573533153,0.9127056284666473,False,0.9293002762569499,False,higher,insurance_selection
campaign,influencer,reservation_insurance_row_reservation_users,reservation_users,2,2,1.0,0.9881235154394299,0.01187648456057011,0.1550432258256536,0.8767872400240355,False,0.9293002762569499,False,higher,insurance_selection
campaign,referral_share_25,reservation_insurance_row_reservation_users,reservation_users,2,2,1.0,0.9881235154394299,0.01187648456057011,0.1550432258256536,0.8767872400240355,False,0.9293002762569499,False,higher,insurance_selection
campaign,seoul_zh_2026q2,reservation_insurance_row_reservation_users,reservation_users,2,2,1.0,0.9881235154394299,0.01187648456057011,0.1550432258256536,0.8767872400240355,False,0.9293002762569499,False,higher,insurance_selection
campaign,shuttle-partnership,reservation_insurance_row_reservation_users,reservation_users,10,10,1.0,0.9881136950904392,0.011886304909560774,0.346830495985812,0.7287186650730684,False,0.9293002762569499,False,higher,insurance_selection
campaign,{{campaign.name}},reservation_insurance_row_reservation_users,reservation_users,12,12,1.0,0.9881112374651091,0.011888762534890907,0.3799730482942064,0.7039654217144433,False,0.9293002762569499,False,higher,insurance_selection
language,(unknown),event_selected_all_users,all_users,7014,0,0.0,0.02706848772763262,-0.02706848772763262,-13.94916330994897,3.1831771620392713e-44,True,2.9603547606965226e-42,True,lower,insurance_selection
language,agq,event_selected_all_users,all_users,1,0,0.0,0.024261868503925366,-0.024261868503925366,-0.15768682316882845,0.8747035841712179,False,0.9127056284666473,False,lower,insurance_selection
language,am,event_selected_all_users,all_users,1,0,0.0,0.024261868503925366,-0.024261868503925366,-0.15768682316882845,0.8747035841712179,False,0.9127056284666473,False,lower,insurance_selection
language,ar,event_selected_all_users,all_users,236,1,0.00423728813559322,0.02433162220705617,-0.020094334071462952,-2.0028342167165265,0.04519508586366684,True,0.22121805185900087,False,lower,insurance_selection
language,ast,event_selected_all_users,all_users,1,0,0.0,0.024261868503925366,-0.024261868503925366,-0.15768682316882845,0.8747035841712179,False,0.9127056284666473,False,lower,insurance_selection
language,az,event_selected_all_users,all_users,9,0,0.0,0.024264738499756022,-0.024264738499756022,-0.473088448419701,0.6361500777895615,False,0.9127056284666473,False,lower,insurance_selection
language,be,event_selected_all_users,all_users,1,0,0.0,0.024261868503925366,-0.024261868503925366,-0.15768682316882845,0.8747035841712179,False,0.9127056284666473,False,lower,insurance_selection
language,bg,event_selected_all_users,all_users,4,0,0.0,0.024262944672797705,-0.024262944672797705,-0.31538064067813376,0.7524726638894945,False,0.9127056284666473,False,lower,insurance_selection
language,bn,event_selected_all_users,all_users,9,0,0.0,0.024264738499756022,-0.024264738499756022,-0.473088448419701,0.6361500777895615,False,0.9127056284666473,False,lower,insurance_selection
language,bs,event_selected_all_users,all_users,1,0,0.0,0.024261868503925366,-0.024261868503925366,-0.15768682316882845,0.8747035841712179,False,0.9127056284666473,False,lower,insurance_selection
language,ca,event_selected_all_users,all_users,14,1,0.07142857142857142,0.024251744942623922,0.0471768264859475,1.1471551521150396,0.2513175031751712,False,0.8656491776033675,False,higher,insurance_selection
language,ckb,event_selected_all_users,all_users,2,0,0.0,0.024262227216275356,-0.024262227216275356,-0.22300449247818405,0.823532010053442,False,0.9127056284666473,False,lower,insurance_selection
language,cs,event_selected_all_users,all_users,24,2,0.08333333333333333,0.02424054189960659,0.05909279143372674,1.8812106649025018,0.05994326754454385,False,0.2787361940821289,False,higher,insurance_selection
language,cy,event_selected_all_users,all_users,11,0,0.0,0.02426545610481021,-0.02426545610481021,-0.5230266925072073,0.6009556781828158,False,0.9127056284666473,False,lower,insurance_selection
language,da,event_selected_all_users,all_users,31,5,0.16129032258064516,0.024198677651722456,0.1370916449289227,4.959828477022577,7.055544944738264e-07,False,8.202070998258232e-06,True,higher,insurance_selection
language,de,event_selected_all_users,all_users,325,15,0.046153846153846156,0.024155809427599425,0.02199803672624673,2.5713078015528565,0.010131523482223048,True,0.05888948024042147,False,higher,insurance_selection
language,el,event_selected_all_users,all_users,3,0,0.0,0.024262585939232646,-0.024262585939232646,-0.2731256275521181,0.7847566474612131,False,0.9127056284666473,False,lower,insurance_selection
language,en,event_selected_all_users,all_users,40192,1179,0.02933419585987261,0.016833053996939445,0.012501141862933166,10.37619232488033,3.1821490267459126e-25,True,9.864661982912329e-24,True,higher,insurance_selection
