dimension,segment,dropoff_metric,denominator,segment_n,segment_dropoffs,segment_dropoff_rate,rest_dropoff_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
campaign,23754383997,no_insurance_row_among_reservation_users,reservation_users,446,0,0.0,0.012447234549193636,-0.012447234549193636,-2.3702693987680825,0.01777512831349647,True,0.048246776850918986,True,lower,insurance_dropoff
campaign,23754385140,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,BFF_program,no_insurance_row_among_reservation_users,reservation_users,8,0,0.0,0.011883848300093003,-0.011883848300093003,-0.3101825677206657,0.756422126167538,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,INFLUENCER,no_insurance_row_among_reservation_users,reservation_users,20,1,0.05,0.011795137092602173,0.03820486290739783,1.575721628044066,0.11508997079819175,False,0.2429677161295159,False,higher,insurance_dropoff
campaign,abandoned_reservation_v2,no_insurance_row_among_reservation_users,reservation_users,4,0,0.0,0.01187893812622663,-0.01187893812622663,-0.21928688047101796,0.8264265810749173,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,family-special-2026-05,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,influencer,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,referral_share_25,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,seoul_zh_2026q2,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,shuttle-partnership,no_insurance_row_among_reservation_users,reservation_users,10,0,0.0,0.011886304909560724,-0.011886304909560724,-0.34683049598581067,0.7287186650730694,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,{{campaign.name}},no_insurance_row_among_reservation_users,reservation_users,12,0,0.0,0.011888762534890934,-0.011888762534890934,-0.3799730482942074,0.7039654217144427,False,0.9373733481549348,False,lower,insurance_dropoff
language,(unknown),no_insurance_selected_event_among_reservation_users,reservation_users,7014,7014,1.0,0.3856233620366904,0.6143766379633095,72.03009853085028,0.0,True,0.0,True,higher,insurance_dropoff
language,ar,no_insurance_selected_event_among_reservation_users,reservation_users,2,1,0.5,0.8306310027883921,-0.3306310027883921,-1.2463012456925546,0.21265382072242273,False,0.47256404604982827,False,lower,insurance_dropoff
language,ca,no_insurance_selected_event_among_reservation_users,reservation_users,1,0,0.0,0.8306484923585296,-0.8306484923585296,-2.214135333793132,0.026819470646929168,False,0.08939823548976389,False,lower,insurance_dropoff
language,cs,no_insurance_selected_event_among_reservation_users,reservation_users,4,2,0.5,0.8306993079227353,-0.3306993079227353,-1.7627181764289936,0.07794803357943617,False,0.20334269629418128,False,lower,insurance_dropoff
language,cy,no_insurance_selected_event_among_reservation_users,reservation_users,1,1,1.0,0.830545229244114,0.169454770755886,0.451690214166401,0.6514921689625884,False,0.912705628466647,False,higher,insurance_dropoff
