vehicle_model_id,model_name,vehicle_class,all_reservation_count,valid_reservation_count,canceled_reservation_count,pending_reservation_count,first_pickup_at_utc,last_observed_dropoff_at_utc,valid_rows_with_final_price,valid_booked_final_price_krw_sum_proxy,average_booked_final_price_krw_formula,valid_booked_rental_hours_sum,valid_joined_vehicle_count_reserved_or_assigned,customer_insurance_fee_krw_sum_not_cost,true_utilization_rate,true_utilization_status,join_method,classification
1937,24년 쏘나타 디엣지(휘),MIDSIZE,5265,4170,897,198,2023-03-20 00:00:00,2027-05-31 00:00:00,4152,428469820,103196.00674373796,248726.53,15,1758400,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1949,24년 쏠라티(15인/경유),RV,337,202,101,34,2023-12-19 00:00:00,2026-08-17 06:00:00,200,90662913,453314.565,10847.35,5,515400,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2016,24년 제네시스 G90 3.5T AWD 48V e-SC,CITY,39,26,10,3,2024-03-26 00:00:00,2024-10-20 02:00:00,26,10407354,400282.8461538461,1465.18,1,102000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1960,24년 카니발 하이리무진 9인승(경유),RV,1273,909,315,49,2024-04-23 00:00:00,2026-08-23 02:30:00,903,240151737,265948.76744186046,56343.88,5,317800,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1977,24년 코나(휘),SUV,1042,819,195,28,2024-10-08 00:00:00,2026-08-22 06:00:00,814,82524875,101381.91031941032,47893.77,5,0,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2227,25년 BMW X7 xdrive40i 하이브리드(휘),SUPERCAR,38,24,9,5,2025-06-19 00:00:00,2026-08-19 08:30:00,24,33977760,1415740.0,2258.17,1,180000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2214,25년 BMW 미니 컨버터블(휘),IMPORTED,779,605,152,22,2025-04-29 00:00:00,2026-08-20 11:00:00,601,114366114,190293.03494176373,33178.95,5,15000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2141,25년 BMW 미니 컨트리맨 4륜(휘),IMPORTED,854,676,150,28,2025-02-25 00:00:00,2026-08-21 08:00:00,671,118724070,176936.0208643815,37905.33,6,15000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2099,25년 EV3(전기),EV,2052,1566,433,53,2024-11-14 00:00:00,2026-08-22 06:00:00,1559,202171751,129680.40474663246,90730.92,11,20000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2102,25년 G80 4륜(휘),LUXURY,1032,816,180,36,2024-12-13 00:00:00,2026-08-21 10:30:00,807,156154301,193499.7534076828,45287.03,5,30000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2133,25년 GV70 4륜(5인/휘),SUV,766,629,114,23,2025-02-10 00:00:00,2026-08-21 05:30:00,625,130928804,209486.0864,37048.05,5,20000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2120,25년 GV80 4륜(7인/휘),SUV,902,722,151,29,2025-01-14 00:00:00,2026-08-21 10:30:00,708,173681590,245312.9802259887,41866.55,5,0,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2103,25년 GV80 쿠페 4륜(5인/휘),SUV,460,347,97,16,2024-12-13 00:00:00,2026-08-24 00:00:00,344,81943222,238207.0406976744,19045.25,2,0,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
