model_family,vehicle_class,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,avg_age_years,utilization_rate,revenue_per_fleet_day,reservation_count,unique_joined_users,avg_reservation_price_krw,family_year_rank_by_revenue_per_fleet_day
GV80,SUV,2023.0,2352,254.74652777777777,24110075.620689657,2.8049281314168377,0.10831059854497355,10250.88249178982,104.0,80.0,231835.24038461538,2.0
GV80,SUV,2025.0,3925,1121.8694444444445,121634573.97843751,0.8123577591762435,0.28582661004954,30989.70037667198,500.0,378.0,244173.518,1.0
K3,COMPACT,2018.0,196,3.666666666666667,71060.0,7.13347022587269,0.01870748299319728,362.55102040816325,1.0,1.0,71060.0,6.0
K3,COMPACT,2019.0,5930,180.91805555555555,6184100.0,6.7091033538672145,0.030508946973955405,1042.849915682968,71.0,54.0,87100.0,5.0
K3,COMPACT,2020.0,5880,277.99305555555554,7451725.0,5.805612594113621,0.0472777305366591,1267.3001700680272,108.0,80.0,68997.45370370371,4.0
K3,COMPACT,2021.0,5880,475.84583333333336,13922340.0,4.803559206023271,0.08092616213151928,2367.7448979591836,196.0,151.0,71032.3469387755,3.0
K3,COMPACT,2022.0,13084,2042.6055555555556,63289325.833333336,3.8042436687200545,0.15611476272971228,4837.154221440946,811.0,607.0,78040.71516646116,2.0
K3,COMPACT,2024.0,5734,1431.05625,54836952.222950816,1.8056125941136205,0.24957381409138474,9563.472658345103,657.0,472.0,83951.30593607305,1.0
K5,MIDSIZE,2020.0,13810,619.0909722222223,21479936.02932085,5.8056125941136205,0.044829179740928475,1555.3900093642903,248.0,181.0,87910.96774193548,5.0
K5,MIDSIZE,2021.0,5880,367.25347222222223,13763640.0,4.803559206023271,0.062458073507180654,2340.7551020408164,133.0,109.0,103486.01503759398,4.0
K5,MIDSIZE,2022.0,8828,964.1006944444445,32311715.0,3.718477170178691,0.10920941260131904,3660.139895786135,379.0,276.0,85255.18469656992,3.0
K5,MIDSIZE,2024.0,10584,3196.7965277777776,139902720.29254678,1.8056125941136205,0.3020404882632065,13218.322023105327,1381.0,1009.0,101441.64228819696,1.0
K5,MIDSIZE,2026.0,4759,1237.5972222222222,53746212.39285714,0.3600273785078713,0.2600540496369452,11293.593694653739,541.0,414.0,99584.5471349353,2.0
K8,LUXURY,2021.0,588,10.125,553570.0,4.132785763175907,0.01721938775510204,941.4455782312925,4.0,3.0,138392.5,2.0
K8,LUXURY,2023.0,1764,295.0729166666667,15979395.0,2.8049281314168377,0.16727489606953894,9058.61394557823,122.0,92.0,130978.64754098361,1.0
QM6,SUV,2020.0,1766,14.636805555555556,839680.0,5.605749486652978,0.008288111866112998,475.46998867497166,7.0,6.0,119954.28571428571,2.0
QM6,SUV,2021.0,1764,217.3125,11259160.0,4.803559206023271,0.12319302721088435,6382.743764172335,76.0,63.0,148146.84210526315,1.0
SM6,MIDSIZE,2020.0,1176,77.75347222222223,2251885.0,5.805612594113621,0.06611689814814815,1914.8681972789116,30.0,20.0,75062.83333333333,1.0
XM3,SUV,2022.0,1176,113.09375,5009330.0,3.8042436687200545,0.09616815476190477,4259.634353741497,44.0,39.0,113848.40909090909,1.0
그랜저 GN7,LUXURY,2026.0,927,217.01388888888889,17679938.146299485,0.35318275154004103,0.23410344000958888,19072.209435058776,95.0,75.0,188176.87368421053,1.0
그랜져IG,LUXURY,2019.0,490,0.0,0.0,6.134154688569473,0.0,0.0,,,,1.0
니로 하이브리드,SUV,2022.0,4704,518.3986111111111,24201353.778625954,3.8042436687200545,0.11020378637566138,5144.845616204497,194.0,149.0,124845.3350515464,1.0
더 K8,LUXURY,2026.0,788,207.27430555555554,14982629.27152318,0.3394934976043805,0.2630384588268471,19013.488923252768,81.0,70.0,185245.92592592593,1.0
더 뉴 K7,LUXURY,2021.0,392,11.854166666666666,741235.0,4.132785763175907,0.03024022108843537,1890.905612244898,4.0,2.0,185308.75,1.0
더 뉴 그랜저,LUXURY,2020.0,4116,443.4951388888889,23619620.0,5.805612594113621,0.10774906192635784,5738.488824101069,182.0,139.0,129778.13186813187,1.0
더 뉴 셀토스,SUV,2024.0,6468,1746.0638888888889,75392605.0,1.8056125941136205,0.2699542190613619,11656.24690785405,714.0,566.0,105591.8837535014,1.0
더뉴그랜드스타렉스12인,RV,2019.0,1176,82.96180555555556,5904315.0,6.804928131416838,0.07054575302343159,5020.676020408163,35.0,29.0,168694.7142857143,1.0
더뉴그랜저 하이브리드,LUXURY,2024.0,2940,661.7805555555556,49165490.0,1.8056125941136205,0.22509542705971278,16722.955782312925,287.0,220.0,171308.3275261324,1.0
디올뉴 그랜저,LUXURY,2023.0,2940,494.8611111111111,29404315.0,2.8049281314168377,0.16832010582010581,10001.46768707483,197.0,154.0,149260.48223350252,1.0
랭글러,IMPORTED,2023.0,2352,407.95694444444445,39893750.0,2.8049281314168377,0.17345108182161753,16961.628401360544,190.0,150.0,209967.1052631579,1.0
